TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
6,CUST1555,ACC61926,Credit,Withdrawal,Mutual Fund,Firm A,South,Manager 4,13-06-2024,58097.33425,69864.1239,0.468016425,513,166
52,CUST3609,ACC51200,Current,Deposit,Personal Loan,Firm B,South,Manager 4,09-12-2023,91008.70225,74938.76898,0.644764684,499,62
82,CUST9038,ACC20297,Savings,Payment,Credit Card,Firm B,East,Manager 2,06-07-2023,83876.70473,130460.157,0.261609512,511,69
2,CUST9420,ACC11188,Current,Transfer,Home Loan,Firm E,West,Manager 3,04-02-2023,25995.80441,47773.37182,0.313474625,560,162
199,CUST7793,ACC92558,Current,Transfer,Credit Card,Firm D,North,Manager 2,11-08-2023,79243.78409,25514.77966,0.596155249,584,134
145,CUST9066,ACC95774,Loan,Withdrawal,Credit Card,Firm B,North,Manager 4,24-10-2023,57287.73057,115204.9717,0.651513806,749,141
7,CUST2915,ACC87006,Savings,Withdrawal,Credit Card,Firm D,South,Manager 4,03-05-2023,50019.80944,78870.46841,0.511598155,382,146
126,CUST4669,ACC11285,Current,Payment,Home Loan,Firm A,West,Manager 3,12-02-2023,6075.604107,36464.73152,0.328162855,323,148
63,CUST5894,ACC39161,Credit,Deposit,Mutual Fund,Firm B,West,Manager 3,16-03-2023,48979.24064,51206.42723,0.886257305,731,203
150,CUST4373,ACC45951,Loan,Payment,Personal Loan,Firm A,West,Manager 4,24-05-2024,54576.48766,37458.70243,0.263085743,839,72
173,CUST9666,ACC94203,Savings,Payment,Savings Account,Firm C,West,Manager 3,04-08-2023,65314.65235,93430.37729,0.370492659,322,68
191,CUST2188,ACC94242,Savings,Withdrawal,Credit Card,Firm E,North,Manager 3,09-12-2023,64798.7445,28400.81364,0.565988735,637,28
97,CUST5428,ACC62446,Savings,Deposit,Personal Loan,Firm B,East,Manager 1,08-11-2023,92911.85735,86086.52662,0.548660609,756,100
24,CUST4625,ACC26956,Loan,Deposit,Home Loan,Firm E,South,Manager 2,12-02-2023,48467.22817,30176.15533,0.4929176,308,139
163,CUST4360,ACC70460,Credit,Transfer,Mutual Fund,Firm D,Central,Manager 1,19-11-2023,97272.58957,136663.7757,0.618418171,500,149
125,CUST3187,ACC78581,Loan,Withdrawal,Mutual Fund,Firm B,West,Manager 3,30-09-2023,24512.33415,29070.04155,0.313900591,615,142
115,CUST5664,ACC11837,Savings,Withdrawal,Mutual Fund,Firm E,West,Manager 1,22-08-2023,6874.359807,78279.49371,0.314240841,843,217
108,CUST2357,ACC71388,Savings,Deposit,Savings Account,Firm C,East,Manager 4,23-03-2024,77455.18834,92533.46132,0.555905728,521,115
168,CUST6038,ACC51200,Savings,Deposit,Home Loan,Firm E,North,Manager 1,17-11-2023,110232.3435,73199.68752,0.420241131,782,165
111,CUST9535,ACC25811,Current,Payment,Credit Card,Firm E,South,Manager 2,10-03-2023,105399.9849,112062.1853,0.799362505,372,86
84,CUST4684,ACC10996,Loan,Withdrawal,Credit Card,Firm D,South,Manager 3,21-01-2023,104027.8452,98169.32518,0.619747654,504,47
69,CUST8091,ACC31902,Current,Transfer,Mutual Fund,Firm D,East,Manager 2,14-04-2023,18864.42662,64462.93553,0.399141702,618,14
34,CUST2109,ACC83005,Credit,Withdrawal,Credit Card,Firm E,West,Manager 2,01-06-2023,64067.18956,29965.89765,0.218534635,335,239
127,CUST3602,ACC49180,Credit,Payment,Personal Loan,Firm B,North,Manager 2,04-10-2023,51410.43875,72847.71706,0.87783306,666,229
182,CUST8461,ACC22255,Loan,Deposit,Personal Loan,Firm C,South,Manager 4,21-11-2023,65936.42182,79602.9358,0.569668533,450,69
140,CUST3315,ACC96277,Current,Withdrawal,Home Loan,Firm B,West,Manager 1,16-03-2023,7331.091596,47794.96256,0.568747927,404,217
47,CUST7028,ACC51593,Current,Deposit,Personal Loan,Firm D,North,Manager 2,26-07-2023,42581.64163,66982.7246,0.305143421,723,119
146,CUST2443,ACC87006,Credit,Deposit,Credit Card,Firm A,North,Manager 4,24-05-2024,67744.48284,84165.39856,0.710062089,386,119
95,CUST1376,ACC77592,Savings,Payment,Savings Account,Firm A,North,Manager 3,10-02-2023,39315.23025,69166.03061,0.695498308,426,23
132,CUST7493,ACC49422,Current,Transfer,Personal Loan,Firm A,South,Manager 4,27-05-2024,63300.24788,106230.6444,0.367278271,443,49
115,CUST3810,ACC72197,Savings,Withdrawal,Savings Account,Firm D,East,Manager 4,23-03-2024,112826.344,42877.33441,0.579984933,578,89
6,CUST7459,ACC24880,Credit,Transfer,Credit Card,Firm C,Central,Manager 1,23-04-2023,10774.51042,66656.12615,0.447620322,760,144
110,CUST4595,ACC80442,Savings,Payment,Savings Account,Firm E,West,Manager 1,08-02-2024,1084.748515,101852.0246,0.542251157,773,173
115,CUST6526,ACC71938,Credit,Withdrawal,Personal Loan,Firm E,North,Manager 1,12-01-2024,97611.73338,92037.6021,0.350210435,458,164
180,CUST6029,ACC96868,Current,Payment,Credit Card,Firm C,South,Manager 3,30-04-2023,88102.30387,137051.358,0.543287129,401,14
182,CUST8390,ACC21878,Current,Payment,Savings Account,Firm B,East,Manager 1,18-03-2023,15265.65619,84502.17833,-0.087142389,769,103
165,CUST8874,ACC15228,Current,Deposit,Mutual Fund,Firm B,North,Manager 3,15-04-2024,46141.12131,106726.6244,0.037415997,372,46
96,CUST8266,ACC45521,Savings,Payment,Credit Card,Firm D,Central,Manager 3,12-03-2024,18716.25175,90481.08404,0.549438017,667,172
80,CUST7255,ACC76597,Current,Transfer,Credit Card,Firm C,South,Manager 1,06-06-2023,103318.2522,72932.75573,0.419833525,812,99
150,CUST3069,ACC45951,Credit,Withdrawal,Credit Card,Firm B,Central,Manager 1,14-04-2023,43001.07043,71265.56554,0.588504706,598,182
50,CUST3109,ACC64785,Savings,Withdrawal,Savings Account,Firm B,North,Manager 4,03-10-2023,27766.51498,141705.874,0.379717332,526,144
9,CUST2699,ACC45101,Credit,Withdrawal,Home Loan,Firm A,Central,Manager 3,22-08-2023,50578.09664,40912.42311,0.178077344,379,66
39,CUST7493,ACC39544,Credit,Payment,Credit Card,Firm B,West,Manager 1,28-11-2023,72230.51244,21903.88219,0.290151342,496,128
89,CUST4794,ACC39500,Current,Deposit,Savings Account,Firm C,West,Manager 4,18-10-2023,3392.795332,114031.6558,0.778757855,539,19
59,CUST1498,ACC97411,Loan,Transfer,Home Loan,Firm B,Central,Manager 2,26-03-2023,50949.03586,65364.14484,0.661364118,525,57
191,CUST7855,ACC99117,Credit,Deposit,Personal Loan,Firm C,North,Manager 1,04-10-2023,92159.60075,106391.2481,0.42571974,699,211
194,CUST9535,ACC97225,Loan,Payment,Credit Card,Firm B,Central,Manager 1,10-08-2023,16722.04703,66923.59474,0.125626231,519,96
109,CUST4360,ACC92104,Savings,Payment,Credit Card,Firm B,East,Manager 1,06-08-2023,79229.02062,129603.6345,0.232123351,820,53
80,CUST9439,ACC88252,Savings,Deposit,Home Loan,Firm B,West,Manager 2,10-06-2023,57661.57758,55105.13588,0.400270196,772,155
90,CUST9535,ACC34821,Loan,Transfer,Credit Card,Firm A,Central,Manager 2,22-08-2023,68280.30047,6568.929831,0.954908078,735,99
145,CUST9066,ACC76549,Loan,Deposit,Personal Loan,Firm E,East,Manager 2,28-11-2023,59801.51539,118665.9437,0.401286895,686,12
194,CUST2357,ACC21878,Savings,Payment,Personal Loan,Firm D,West,Manager 4,19-11-2023,82247.48307,111743.9692,0.46365037,675,217
166,CUST8660,ACC95164,Current,Transfer,Mutual Fund,Firm E,East,Manager 3,13-02-2024,-183.0774494,108673.3904,0.397686784,667,175
134,CUST8772,ACC34119,Credit,Deposit,Savings Account,Firm E,North,Manager 1,06-06-2023,3793.424369,116896.4354,0.338728181,829,133
107,CUST1913,ACC60432,Credit,Deposit,Home Loan,Firm E,East,Manager 3,21-01-2023,12678.27808,19089.63148,0.466083905,665,201
169,CUST1223,ACC77592,Loan,Withdrawal,Credit Card,Firm C,West,Manager 2,12-01-2023,-7084.029651,69092.99541,0.35622685,706,102
184,CUST9169,ACC76597,Current,Deposit,Mutual Fund,Firm A,Central,Manager 3,17-01-2024,68546.49036,49963.44658,0.060823425,665,160
50,CUST6526,ACC73104,Current,Deposit,Savings Account,Firm A,East,Manager 3,10-12-2023,34718.41914,124142.6374,0.350739395,688,208
54,CUST2578,ACC78589,Credit,Withdrawal,Savings Account,Firm A,South,Manager 4,06-09-2023,77094.30183,-25971.51201,0.405283075,519,227
154,CUST6525,ACC45907,Savings,Transfer,Savings Account,Firm C,West,Manager 4,21-01-2023,48624.47841,37246.6452,0.062627311,662,75
81,CUST3602,ACC61926,Credit,Deposit,Mutual Fund,Firm B,South,Manager 2,30-07-2023,39612.15172,88222.33484,0.016266927,400,37
75,CUST4595,ACC81631,Credit,Payment,Savings Account,Firm C,West,Manager 3,28-05-2024,24913.40675,86574.95975,0.3036655,848,113
60,CUST3006,ACC25811,Savings,Deposit,Home Loan,Firm A,South,Manager 3,03-03-2023,23364.50858,60342.872,0.762857502,334,100
166,CUST5351,ACC96277,Loan,Deposit,Savings Account,Firm C,North,Manager 2,04-01-2024,77677.36687,41776.45992,0.568868556,753,145
152,CUST1888,ACC82298,Loan,Transfer,Credit Card,Firm B,Central,Manager 2,07-06-2024,30821.13638,90619.69074,0.517305847,311,64
21,CUST4438,ACC16664,Credit,Withdrawal,Credit Card,Firm C,Central,Manager 1,31-10-2023,44558.28737,121751.6536,0.457272647,833,172
173,CUST6210,ACC74631,Savings,Deposit,Home Loan,Firm C,South,Manager 4,08-01-2023,72738.26426,-8820.480676,0.705421431,743,23
76,CUST4625,ACC51009,Credit,Payment,Credit Card,Firm E,West,Manager 3,26-09-2023,41601.22219,69330.012,0.438426892,404,184
97,CUST4780,ACC29646,Savings,Deposit,Savings Account,Firm D,North,Manager 4,30-09-2023,103790.4,160302.7378,0.411270749,746,63
199,CUST6937,ACC51971,Credit,Withdrawal,Mutual Fund,Firm D,Central,Manager 4,07-03-2023,38288.44099,69698.13095,0.521303045,474,137
88,CUST3187,ACC21264,Savings,Deposit,Home Loan,Firm A,East,Manager 2,13-06-2024,55651.11477,50613.38645,0.683184629,488,227
176,CUST5253,ACC16241,Current,Deposit,Mutual Fund,Firm E,West,Manager 3,16-10-2023,54255.23192,133340.0477,0.62653682,782,195
20,CUST5558,ACC35419,Credit,Deposit,Savings Account,Firm E,West,Manager 4,11-05-2023,32955.23345,42663.65832,0.868880736,371,206
88,CUST6330,ACC30852,Current,Withdrawal,Home Loan,Firm B,East,Manager 2,16-03-2023,91479.53628,88755.28578,0.61914976,636,6
116,CUST7730,ACC24070,Credit,Withdrawal,Personal Loan,Firm A,West,Manager 1,09-04-2023,99268.01135,23785.60648,0.334841885,325,184
51,CUST6937,ACC47099,Credit,Withdrawal,Home Loan,Firm A,North,Manager 4,10-12-2023,48897.79022,50617.74208,0.402988001,496,116
171,CUST4241,ACC11188,Credit,Payment,Personal Loan,Firm A,West,Manager 3,28-01-2023,69942.45693,132342.7173,0.66521353,360,158
129,CUST7651,ACC49395,Credit,Deposit,Savings Account,Firm D,East,Manager 1,10-09-2023,32073.34435,52800.74802,0.223141849,687,185
22,CUST2427,ACC81631,Current,Payment,Home Loan,Firm C,South,Manager 1,15-01-2023,-13660.24465,89158.96683,0.738999336,798,142
42,CUST5610,ACC82947,Savings,Payment,Personal Loan,Firm B,West,Manager 4,11-06-2024,93043.92149,46835.56582,0.24535058,396,90
89,CUST6210,ACC45521,Savings,Transfer,Personal Loan,Firm A,North,Manager 4,22-10-2023,30354.68809,52197.81326,0.588288443,666,44
42,CUST8390,ACC48303,Current,Payment,Savings Account,Firm D,South,Manager 2,30-04-2023,57690.73138,93029.96058,0.823038294,358,36
110,CUST9079,ACC91220,Current,Withdrawal,Home Loan,Firm B,Central,Manager 3,26-03-2023,64004.11324,77822.24919,0.451222165,750,217
140,CUST6565,ACC58078,Savings,Deposit,Home Loan,Firm E,North,Manager 3,19-06-2023,24753.22103,59125.81641,0.536029725,320,46
193,CUST9564,ACC19156,Loan,Withdrawal,Home Loan,Firm B,South,Manager 4,11-06-2024,94881.99586,81531.72277,0.360505027,817,147
63,CUST6525,ACC96868,Loan,Transfer,Home Loan,Firm B,West,Manager 3,09-02-2024,91884.8936,43194.39357,0.413990588,647,194
39,CUST4402,ACC64785,Loan,Deposit,Credit Card,Firm A,East,Manager 1,19-03-2024,44834.13446,109854.3273,0.226049324,564,41
61,CUST8390,ACC88286,Current,Deposit,Credit Card,Firm E,North,Manager 1,05-02-2024,64763.06306,60431.8895,0.505670361,791,58
41,CUST9248,ACC88252,Savings,Deposit,Mutual Fund,Firm A,South,Manager 1,04-02-2024,22725.76123,-7644.952475,0.289784626,592,153
144,CUST4461,ACC91723,Credit,Withdrawal,Mutual Fund,Firm B,West,Manager 1,18-02-2024,49556.52535,35571.08611,0.168057221,582,25
22,CUST3602,ACC99549,Loan,Transfer,Credit Card,Firm B,West,Manager 2,21-02-2023,120355.3952,69134.99761,0.273988573,713,16
30,CUST4855,ACC46655,Loan,Withdrawal,Savings Account,Firm E,South,Manager 1,24-05-2023,33231.36164,106659.5304,0.388407281,318,50
108,CUST1747,ACC75675,Credit,Withdrawal,Mutual Fund,Firm A,West,Manager 4,21-05-2023,11653.13736,91194.18655,-0.089433394,486,13
120,CUST6292,ACC55729,Current,Transfer,Mutual Fund,Firm B,North,Manager 3,08-09-2023,31050.64074,89195.12332,0.886207755,456,83
114,CUST8390,ACC47099,Credit,Deposit,Home Loan,Firm C,South,Manager 1,19-06-2023,73824.03974,81787.75102,0.875085326,603,81
87,CUST1768,ACC10996,Credit,Deposit,Mutual Fund,Firm D,East,Manager 2,19-06-2023,60870.23721,119800.2879,0.703211664,622,109
59,CUST4855,ACC69323,Loan,Withdrawal,Credit Card,Firm E,South,Manager 3,28-03-2024,57637.67068,112935.0518,0.564062804,604,193
18,CUST3725,ACC70460,Savings,Withdrawal,Credit Card,Firm C,South,Manager 4,23-04-2023,71021.49408,104207.6787,0.634333166,596,32
171,CUST2578,ACC49774,Savings,Withdrawal,Personal Loan,Firm E,Central,Manager 4,04-08-2023,32801.41529,119713.713,0.418582613,751,10
38,CUST3378,ACC58078,Credit,Withdrawal,Credit Card,Firm E,South,Manager 4,14-04-2023,17023.94471,73031.32329,0.211304014,394,239
173,CUST5255,ACC64393,Current,Deposit,Credit Card,Firm B,West,Manager 4,19-06-2023,115891.2086,28570.55738,0.369551008,470,20
185,CUST8461,ACC45521,Current,Deposit,Credit Card,Firm D,South,Manager 2,04-02-2023,28242.44401,67613.2556,0.254922721,777,87
36,CUST5253,ACC91723,Loan,Payment,Credit Card,Firm D,North,Manager 4,04-10-2023,72372.14327,106429.554,0.295206316,478,175
46,CUST1498,ACC35419,Loan,Withdrawal,Credit Card,Firm A,North,Manager 1,18-10-2023,48616.72139,44328.26886,0.498449624,674,121
39,CUST6525,ACC96277,Loan,Transfer,Credit Card,Firm D,West,Manager 4,04-02-2023,63589.01487,69819.6094,0.821272699,790,36
7,CUST2626,ACC76699,Loan,Payment,Credit Card,Firm D,North,Manager 3,17-08-2023,78499.37004,30224.37559,0.673567224,536,150
102,CUST4003,ACC57700,Loan,Transfer,Savings Account,Firm D,Central,Manager 4,24-10-2023,28411.97213,50313.00778,0.721532,491,172
181,CUST4780,ACC96277,Loan,Withdrawal,Savings Account,Firm A,West,Manager 3,13-01-2023,50387.13468,64611.52485,0.707731742,490,178
107,CUST8390,ACC49140,Loan,Payment,Mutual Fund,Firm E,South,Manager 2,24-09-2023,105288.4189,37584.56406,0.676434762,346,227
155,CUST2716,ACC74656,Loan,Payment,Home Loan,Firm C,North,Manager 2,24-05-2024,66091.10995,75790.08806,0.377153841,800,138
90,CUST2694,ACC83269,Loan,Deposit,Personal Loan,Firm B,East,Manager 2,29-05-2023,98924.64486,78153.08352,0.187625073,825,212
65,CUST6350,ACC29231,Loan,Transfer,Savings Account,Firm C,North,Manager 4,10-01-2023,14458.79895,145670.0122,0.620878499,657,210
174,CUST1497,ACC97411,Credit,Payment,Credit Card,Firm E,North,Manager 2,21-02-2023,46331.85062,49011.6815,0.65279577,521,119
10,CUST6292,ACC10996,Savings,Payment,Home Loan,Firm C,North,Manager 4,05-02-2023,112902.0756,91106.09826,0.231361763,754,61
175,CUST5545,ACC41829,Loan,Payment,Personal Loan,Firm B,West,Manager 1,17-11-2023,25423.476,119352.6821,0.45029274,727,29
191,CUST4461,ACC77773,Savings,Payment,Home Loan,Firm D,South,Manager 2,10-12-2023,66805.26715,112224.0831,0.447021863,683,50
191,CUST1042,ACC53865,Credit,Payment,Home Loan,Firm E,North,Manager 1,28-01-2023,34872.38271,73625.99274,0.469271473,729,172
57,CUST6038,ACC40939,Current,Withdrawal,Mutual Fund,Firm A,Central,Manager 4,05-05-2023,4943.477267,142812.462,0.152251931,806,167
51,CUST2626,ACC77592,Credit,Transfer,Mutual Fund,Firm E,East,Manager 1,26-03-2023,39348.83654,23865.29954,0.796181904,571,221
141,CUST2443,ACC21719,Current,Deposit,Home Loan,Firm E,North,Manager 2,18-06-2023,155241.4276,67341.54606,0.32691835,595,15
158,CUST1223,ACC71938,Credit,Payment,Home Loan,Firm A,West,Manager 4,26-04-2023,64691.47668,40492.03681,0.494227991,672,155
70,CUST4769,ACC60432,Credit,Withdrawal,Home Loan,Firm E,West,Manager 3,10-02-2023,28839.70527,47856.24646,1.012370546,465,115
126,CUST8288,ACC29356,Current,Transfer,Credit Card,Firm E,South,Manager 3,18-06-2023,62197.60178,63526.09408,0.409823326,407,82
20,CUST9843,ACC88516,Savings,Payment,Home Loan,Firm C,North,Manager 3,13-01-2023,39126.35851,-9208.204563,0.913844097,469,182
66,CUST1840,ACC76597,Current,Payment,Home Loan,Firm B,East,Manager 2,18-08-2023,59007.83936,30373.29749,0.82738586,817,33
3,CUST3315,ACC61827,Savings,Withdrawal,Savings Account,Firm C,North,Manager 1,29-11-2023,81766.58518,66464.71706,0.269890626,380,173
130,CUST6210,ACC15671,Current,Transfer,Credit Card,Firm C,East,Manager 4,30-01-2023,43693.88783,49828.36913,0.611661169,378,37
126,CUST9683,ACC39500,Current,Payment,Home Loan,Firm D,West,Manager 3,05-05-2023,41917.11438,16063.04292,0.568225352,346,200
174,CUST7855,ACC62446,Credit,Transfer,Home Loan,Firm D,East,Manager 3,09-01-2023,58351.62356,52316.52829,0.204438307,561,94
92,CUST2357,ACC21719,Current,Payment,Mutual Fund,Firm A,East,Manager 4,14-04-2023,-10584.44974,140473.0208,0.756752826,814,37
46,CUST7098,ACC88516,Current,Transfer,Home Loan,Firm E,East,Manager 3,29-11-2023,76251.49892,46444.34125,0.591894117,726,92
97,CUST4241,ACC70741,Savings,Transfer,Credit Card,Firm B,East,Manager 2,06-01-2023,60590.44697,113020.2018,0.592478805,559,40
138,CUST4884,ACC42710,Loan,Withdrawal,Personal Loan,Firm D,East,Manager 1,01-01-2024,14749.56411,113746.7345,0.661919859,424,239
64,CUST8028,ACC28154,Savings,Payment,Credit Card,Firm D,East,Manager 1,17-01-2024,46231.65596,52926.38773,0.895998787,602,93
69,CUST7173,ACC32627,Current,Deposit,Savings Account,Firm E,East,Manager 1,18-11-2023,103095.1427,42718.4451,0.170067609,671,94
176,CUST6082,ACC54589,Loan,Withdrawal,Mutual Fund,Firm B,Central,Manager 4,09-01-2023,54187.40227,43382.50872,0.257178797,822,11
6,CUST4780,ACC34119,Loan,Deposit,Savings Account,Firm E,South,Manager 2,16-04-2024,32875.18488,82744.79837,0.626817293,503,220
138,CUST3725,ACC80442,Savings,Payment,Savings Account,Firm D,North,Manager 1,26-03-2023,114457.8207,74562.81689,0.263466994,462,47
79,CUST8461,ACC53466,Loan,Payment,Credit Card,Firm D,West,Manager 1,08-05-2023,68043.97496,45722.51796,0.706354309,454,42
138,CUST2805,ACC39500,Savings,Withdrawal,Mutual Fund,Firm E,Central,Manager 2,04-01-2024,68422.31345,62449.55188,0.413654048,781,127
195,CUST8529,ACC11285,Loan,Deposit,Savings Account,Firm A,North,Manager 1,21-03-2024,71079.92835,70027.46872,0.258301552,542,200
11,CUST9564,ACC24070,Current,Payment,Mutual Fund,Firm E,South,Manager 2,06-07-2023,76332.72219,52267.21717,0.368371359,650,216
176,CUST3006,ACC65144,Savings,Deposit,Home Loan,Firm E,North,Manager 2,12-01-2024,80452.79199,59513.48316,0.560134432,848,66
